Блок,Поле,Тип,Обязательное,Подсказка
1. Общие данные компании,Имя,Строка,Да,Контактное лицо
1. Общие данные компании,Должность,Строка,Да,Роль в компании
1. Общие данные компании,Телефон,Телефон,Да,Основной номер
1. Общие данные компании,Email,Email,Да,Для связи и отчетов
1. Общие данные компании,Название компании,Строка,Да,Полное название
1. Общие данные компании,Юр. форма / ИНН,Строка,Нет,При необходимости
1. Общие данные компании,Сайт компании,URL,Нет,Если есть
2. Профиль бизнеса,Отрасль,Список (множественный),Да,"Розница, B2B, услуги, IT, производство и т.п."
2. Профиль бизнеса,Количество сотрудников,Число,Да,Общее количество
2. Профиль бизнеса,Сколько будет работать в Bitrix24,Число,Да,Пользователи CRM/портала
2. Профиль бизнеса,Регионы работы,Строка,Да,Города/страны
2. Профиль бизнеса,Основные цели внедрения,Список (множественный),Да,"Продажи, автоматизация, контроль, сервис, маркетинг, учет и др."
2. Профиль бизнеса,Горизонт планирования,Список,Нет,"3–6 мес, 6–12 мес, >1 года"
"3. Воронки, направления и финцентры",Сколько направлений бизнеса/продуктов,Число,Да,"Розница, опт, сервис и т.п."
"3. Воронки, направления и финцентры",Опишите эти направления,Текст,Да,Краткое описание по каждому
"3. Воронки, направления и финцентры",Нужны ли отдельные воронки под каждое направление,Список,Да,Одна / несколько / нужен совет
"3. Воронки, направления и финцентры",Есть ли разные процессы продажи по направлениям,Да/Нет,Да,"Разный цикл, этапы, отделы"
"3. Воронки, направления и финцентры",Нужно ли разделить сделки по центрам фин. учета,Список,Да,Один центр; по направлениям; по юрлицам/филиалам; другое
"3. Воронки, направления и финцентры",Какие центры фин. учета выделяете,Текст,Нет,"Филиалы, юрлица, направления, проекты"
"3. Воронки, направления и финцентры",Важно ли видеть P&L по направлениям/финцентрам,Да/Нет,Нет,Прибыльность по каждому
"3. Воронки, направления и финцентры",Есть ли сейчас раздельный фин. учет по направлениям,Список,Нет,"В 1С, в Excel, не ведем, другое"
"3. Воронки, направления и финцентры",Какие отчеты по направлениям/воронкам нужны,Текст,Да,"Выручка, маржа, конверсия и т.п."
4. Текущие системы и данные,Какие системы сейчас используете,Список (множественный),Да,"Excel, 1С, другая CRM, сайт на Bitrix, нет системы и др."
4. Текущие системы и данные,Название текущей CRM (если есть),Строка,Нет,"amoCRM, RetailCRM и др."
4. Текущие системы и данные,Что важно перенести в Bitrix24,Текст,Нет,"Клиенты, сделки, история, файлы"
4. Текущие системы и данные,Формат хранения баз сейчас,Текст,Нет,"Файлы, базы, сервисы"
4. Текущие системы и данные,Есть ли регламенты/скрипты продаж,Да/Нет,Нет,"Скрипты, инструкции"
5. Бизнес‑процессы продаж и сервиса,Описание текущей воронки продаж,Текст,Да,Этапы от обращения до оплаты
5. Бизнес‑процессы продаж и сервиса,Каналы поступления обращений,Список (множественный),Да,"Звонки, сайт, почта, мессенджеры, соцсети, офлайн и др."
5. Бизнес‑процессы продаж и сервиса,Среднее кол-во обращений в месяц,Число,Нет,Оценка
5. Бизнес‑процессы продаж и сервиса,Основные боли/проблемы,Текст,Да,Что мешает продавать/обслуживать
5. Бизнес‑процессы продаж и сервиса,Какие операции выполняются вручную,Текст,Нет,"Загрузка лидов, отчеты, согласования"
5. Бизнес‑процессы продаж и сервиса,Какие отчеты нужны руководству,Текст,Да,"KPI, конверсия, план/факт, эффективность каналов"
5. Бизнес‑процессы продаж и сервиса,Нужен ли учет задач/проектов,Да/Нет,Нет,Использование «Задачи и проекты»
6. Внутренние бизнес‑процессы и автоматизация,Какие внутренние процессы уже регламентированы,Список (множественный),Нет,"Продажи, закупки, договоры, счета, отпуск, командировки, заявки, рекламации, HR и др."
6. Внутренние бизнес‑процессы и автоматизация,Какие процессы уже автоматизированы,Текст,Нет,"Где и как (1С, портал, самописка)"
6. Внутренние бизнес‑процессы и автоматизация,Какие процессы в первую очередь нужно автоматизировать в Bitrix24,Список (множественный),Да,"Согласование договоров, счетов/оплат, заявки на закупку, отпуск/командировки, согласование КП, рекламации, HR, IT‑заявки и др."
6. Внутренние бизнес‑процессы и автоматизация,Нужен ли процесс согласования договоров,Да/Нет,Да,Маршрут согласования
6. Внутренние бизнес‑процессы и автоматизация,Нужен ли процесс согласования счетов и оплат,Да/Нет,Да,"Кто утверждает суммы, лимиты"
6. Внутренние бизнес‑процессы и автоматизация,Нужны ли процессы отпусков/командировок,Да/Нет,Нет,"Заявка, согласование, уведомления"
6. Внутренние бизнес‑процессы и автоматизация,Нужны ли процессы обработки рекламаций/жалоб,Да/Нет,Нет,"Фиксация, ответственный, сроки"
6. Внутренние бизнес‑процессы и автоматизация,"Нужно ли согласование внутренних заявок (IT, офис, закупки)",Да/Нет,Нет,"Заявки на технику, доступы, ремонт"
6. Внутренние бизнес‑процессы и автоматизация,Какие уведомления/контроль сроков важны,Текст,Нет,"Напоминания, эскалация, SLA"
6. Внутренние бизнес‑процессы и автоматизация,Есть ли описания/регламенты процессов,Да/Нет,Нет,Где хранятся
6. Внутренние бизнес‑процессы и автоматизация,Готовы ли адаптировать процессы под стандартный Bitrix24,Список,Да,Стандарт / с доработками / нужен аудит
7.1 HR и подбор,Есть ли HR‑отдел / ответственный за подбор,Да/Нет + строка,Да,Кто занимается подбором и кадрами
7.1 HR и подбор,Как вы сейчас ведете подбор персонала,Список (множественный),Да,"Excel, почта, мессенджеры, ATS, Bitrix24 и др."
7.1 HR и подбор,Какие HR‑процессы хотите автоматизировать в Bitrix24,Список (множественный),Да,"Подбор, заявки на вакансию, адаптация, испытательный срок, оценка, увольнение, кадровое делопроизводство"
7.1 HR и подбор,Используете ли сейчас hh.ru / Зарплата.ру / другие сервисы,Список (множественный),Да,"hh.ru, Зарплата.ру, SuperJob, другие"
7.1 HR и подбор,Нужна ли интеграция Bitrix24 с hh.ru (и др.),Да/Нет,Да,Импорт откликов/резюме в Bitrix24
7.1 HR и подбор,Что нужно получать из hh.ru в Bitrix24,Список (множественный),Нет,"Отклики, резюме, контакты, статус, комментарии, файлы"
7.1 HR и подбор,Как вы хотите работать с кандидатами в Bitrix24,Список (множественный),Да,"HR‑воронка, задачи/группы, HR‑решение из Маркета"
7.1 HR и подбор,Нужна ли отдельная «воронка подбора персонала»,Да/Нет,Да,"Этапы: отклик, интервью, оффер, выход и т.п."
7.1 HR и подбор,Нужен ли процесс заявки на подбор от руководителей,Да/Нет,Нет,"Заявка на вакансию, согласование"
7.1 HR и подбор,Нужна ли автоматизация адаптации / испытательного срока,Да/Нет,Нет,"План задач, контроль сроков"
7.1 HR и подбор,Какие HR‑отчеты вам важны,Текст,Нет,"Время закрытия вакансий, воронка кандидатов и др."
7.1 HR и подбор,Есть ли описанные HR‑процессы,Да/Нет,Нет,Где хранятся регламенты
7.2 КЭДО (кадровый ЭДО),Планируете ли переход на КЭДО,Список,Да,Уже используем; планируем; рассматриваем; не планируем
7.2 КЭДО (кадровый ЭДО),Какие кадровые документы хотите перевести в электронный вид,Список (множественный),Да,"Трудовые договоры, доп.соглашения, приказы, заявления, ЛНА, расчетные листки и др."
7.2 КЭДО (кадровый ЭДО),Есть ли сейчас КЭДО/кадровый ЭДО,Список,Нет,Нет; есть в 1С; есть в другой системе/у оператора
7.2 КЭДО (кадровый ЭДО),Нужна ли именно Битрикс24 КЭДО,Да/Нет,Да,Использовать КЭДО в Bitrix24
7.2 КЭДО (кадровый ЭДО),Нужна ли интеграция КЭДО с 1С,Да/Нет,Да,Обмен кадровыми документами и данными
7.2 КЭДО (кадровый ЭДО),Какие HR‑процессы хотите закрыть через КЭДО,Список (множественный),Да,"Прием/перевод/увольнение, подписание документов, ознакомление с ЛНА, отпускные заявки, расчетные листки"
7.2 КЭДО (кадровый ЭДО),Какие типы ЭП планируете использовать,Список,Нет,"Простая, неквалифицированная, квалифицированная, не определились"
7.2 КЭДО (кадровый ЭДО),Есть ли ограничения по законодательству/безопасности,Текст,Нет,"Требования по хранению, операторам ЭДО, ПДн"
7.2 КЭДО (кадровый ЭДО),Нужна ли помощь в подготовке локальных актов по КЭДО,Да/Нет,Нет,"Положение о КЭДО, соглашения и др."
8. Маркетинг и Маркет Bitrix24,Основные каналы привлечения,Список (множественный),Да,"Яндекс.Директ, Google Ads, VK, Instagram, Telegram, SEO, Email, офлайн и др."
8. Маркетинг и Маркет Bitrix24,Ведете платную рекламу,Да/Нет,Да,"Контекст, таргет"
8. Маркетинг и Маркет Bitrix24,Нужна интеграция с рекламными кабинетами,Да/Нет,Нет,"Яндекс, VK и др."
8. Маркетинг и Маркет Bitrix24,Нужна ли сквозная аналитика,Да/Нет,Да,Путь от клика до сделки
8. Маркетинг и Маркет Bitrix24,Какие маркетинговые активности планируете в Bitrix24,Список (множественный),Да,"Email, SMS, мессенджеры, автоворонки, триггеры"
8. Маркетинг и Маркет Bitrix24,Интересующие модули Маркета,Список (множественный),Да,"Email/SMS, чат‑боты, телефония, BI, реклама, маркетплейсы, виджеты сайта и др."
8. Маркетинг и Маркет Bitrix24,Используете ли маркетплейсы (WB/Ozon/Я.Маркет),Список (множественный),Нет,"Wildberries, Ozon, Я.Маркет и др."
8. Маркетинг и Маркет Bitrix24,Нужно ли синхронизировать заказы/остатки с маркетплейсами,Да/Нет,Нет,Через приложения Маркета
"9. Внешние интеграции (1С, сайт, сервисы)",Используете ли 1С / ERP,Да/Нет,Да,Если да — какая конфигурация
"9. Внешние интеграции (1С, сайт, сервисы)",Версия и конфигурация 1С (если есть),Строка,Нет,"УНФ, УТ, БП, ERP и т.п."
"9. Внешние интеграции (1С, сайт, сервисы)",Какой обмен с 1С нужен,Список,Да,Только выгрузка из 1С; двусторонний обмен; нужна консультация
"9. Внешние интеграции (1С, сайт, сервисы)",Какие данные синхронизировать с 1С,Список (множественный),Нет,"Контрагенты, номенклатура, заказы/счета, оплаты, остатки, документы"
"9. Внешние интеграции (1С, сайт, сервисы)",Есть ли у вас сайт,Да/Нет + URL,Да,Укажите адрес
"9. Внешние интеграции (1С, сайт, сервисы)",На какой платформе сайт,Список/строка,Да,"1C‑Битрикс, WordPress, Tilda, самописный и др."
"9. Внешние интеграции (1С, сайт, сервисы)",Есть ли на сайте формы заявок,Да/Нет,Да,"Обратная связь, заказ, запись"
"9. Внешние интеграции (1С, сайт, сервисы)",Нужна ли интеграция сайта с Bitrix24,Да/Нет,Да,Передача заявок/заказов
"9. Внешние интеграции (1С, сайт, сервисы)",Что нужно передавать из сайта в Bitrix24,Список (множественный),Нет,"Лиды, заказы, записи, подписки и др."
"9. Внешние интеграции (1С, сайт, сервисы)",Какой вариант интеграции сайта предпочтителен,Список,Нет,"CRM‑формы Bitrix24, интеграция существующих форм, модуль/приложение, API"
"9. Внешние интеграции (1С, сайт, сервисы)",Нужна ли онлайн‑оплата через формы/виджеты,Да/Нет,Нет,"Эквайринг, онлайн‑оплата"
"9. Внешние интеграции (1С, сайт, сервисы)",Есть ли IP‑телефония/АТС,Да/Нет + строка,Да,"Asterisk, Mango, UIS и др."
"9. Внешние интеграции (1С, сайт, сервисы)",Нужна интеграция телефонии с Bitrix24,Да/Нет,Да,"Звонки, записи, привязка к CRM"
"9. Внешние интеграции (1С, сайт, сервисы)",Используемые внешние BI/аналитика,Список (множественный),Нет,"Power BI, DataLens, GA и др."
"9. Внешние интеграции (1С, сайт, сервисы)",Нужна выгрузка данных в BI,Да/Нет,Да,Отчеты вне Bitrix24
"9. Внешние интеграции (1С, сайт, сервисы)",Платежные сервисы / интернет‑эквайринг,Строка,Нет,"Яндекс.Касса, Сбер и др."
"9. Внешние интеграции (1С, сайт, сервисы)",Требуются ли кастомные интеграции по API,Список,Да,Нет; свой разработчик; нужен интегратор
"9. Внешние интеграции (1С, сайт, сервисы)",Особые требования по безопасности/инфраструктуре,Текст,Нет,"VPN, РФ‑хостинг, коробка, on‑premise"
"10. Отделы, роли и права",Какие отделы будут работать в Bitrix24,Список (множественный),Да,"Продажи, маркетинг, сервис, склад, HR, бухгалтерия, руководство"
"10. Отделы, роли и права",Сколько менеджеров по продажам,Число,Да,Активные пользователи CRM
"10. Отделы, роли и права",Нужны ли разные права доступа,Список,Да,Только свои; отдела; вся компания
"10. Отделы, роли и права","Нужен ли корпоративный портал (лента, чаты, диски)",Да/Нет,Нет,Внутренние коммуникации
"10. Отделы, роли и права",Важна ли мобильная работа,Да/Нет,Нет,Мобильное приложение
"11. Обучение, поддержка и развитие",Предпочтительный формат обучения,Список,Да,"Видеоуроки, вебинары, очно, персональный менеджер, самостоятельно"
"11. Обучение, поддержка и развитие",Уровень вовлеченности руководства,Список,Нет,"Высокий, средний, низкий"
"11. Обучение, поддержка и развитие",Нужна ли поддержка после запуска,Да/Нет,Да,"Сопровождение, улучшения"
"11. Обучение, поддержка и развитие",Нужны ли доработки (кастом),Да/Нет + текст,Нет,"Поля, процессы, интеграции"
"11. Обучение, поддержка и развитие",Какие процессы планируете автоматизировать в 6–12 мес,Текст,Нет,Будущий роадмап
12. Финальный блок,Удобное время для связи,Строка,Нет,"Дни/часы, часовой пояс"
12. Финальный блок,Предпочтительный канал связи,Список,Нет,"Телефон, Email, WhatsApp, Telegram"
12. Финальный блок,Дополнительные комментарии/ожидания,Текст,Нет,Любые пожелания
12. Финальный блок,Согласие на обработку ПД,Чекбокс,Да,Текст вашей политики
